Far field
"Plane Wave Phi"[deg]	"1Bladde3D_Plastic_V2_er7_oneside261PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside263PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside250PEC [dBsm]"	"1Bladde3D_all_er5 [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside256PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside251_259_260PEC [dBsm]"	
-1.74924000E+02	-5.13767470E+01	-4.89738899E+01	-7.93325114E+01	-1.01792779E+02	-9.01576883E+01	-8.18949876E+01	
-1.74888000E+02	-5.14024704E+01	-4.89708060E+01	-7.92642506E+01	-1.01792421E+02	-9.01648232E+01	-8.18947564E+01	
-1.74852000E+02	-5.14282741E+01	-4.89677259E+01	-7.91964741E+01	-1.01792052E+02	-9.01719603E+01	-8.18945318E+01	
-1.74816000E+02	-5.14541489E+01	-4.89646561E+01	-7.91291803E+01	-1.01791672E+02	-9.01791004E+01	-8.18943120E+01	
-1.74780000E+02	-5.14800896E+01	-4.89615858E+01	-7.90623668E+01	-1.01791281E+02	-9.01862374E+01	-8.18940958E+01	
-1.74744000E+02	-5.15061120E+01	-4.89585248E+01	-7.89960034E+01	-1.01790880E+02	-9.01933774E+01	-8.18938842E+01	
-1.74708000E+02	-5.15321952E+01	-4.89554664E+01	-7.89301089E+01	-1.01790467E+02	-9.02005164E+01	-8.18936772E+01	
-1.74672000E+02	-5.15583675E+01	-4.89524126E+01	-7.88646791E+01	-1.01790044E+02	-9.02076587E+01	-8.18934787E+01	
-1.74636000E+02	-5.15846115E+01	-4.89493636E+01	-7.87997018E+01	-1.01789610E+02	-9.02148024E+01	-8.18932798E+01	
-1.74600000E+02	-5.16109229E+01	-4.89463194E+01	-7.87351334E+01	-1.01789165E+02	-9.02219456E+01	-8.18930893E+01	
-1.74564000E+02	-5.16373036E+01	-4.89432798E+01	-7.86710235E+01	-1.01788710E+02	-9.02290925E+01	-8.18929034E+01	
-1.74528000E+02	-5.16637595E+01	-4.89402476E+01	-7.86073464E+01	-1.01788244E+02	-9.02362348E+01	-8.18927207E+01	
-1.74492000E+02	-5.16903049E+01	-4.89372185E+01	-7.85441152E+01	-1.01787768E+02	-9.02433801E+01	-8.18925449E+01	
-1.74456000E+02	-5.17169104E+01	-4.89341890E+01	-7.84812883E+01	-1.01787281E+02	-9.02505294E+01	-8.18923709E+01	
-1.74420000E+02	-5.17436054E+01	-4.89311709E+01	-7.84188489E+01	-1.01786783E+02	-9.02576746E+01	-8.18922053E+01	
-1.74384000E+02	-5.17703594E+01	-4.89281574E+01	-7.83568335E+01	-1.01786275E+02	-9.02648227E+01	-8.18920443E+01	
-1.74348000E+02	-5.17972040E+01	-4.89251421E+01	-7.82952192E+01	-1.01785755E+02	-9.02719733E+01	-8.18918860E+01	
-1.74312000E+02	-5.18241194E+01	-4.89221358E+01	-7.82340170E+01	-1.01785225E+02	-9.02791190E+01	-8.18917350E+01	
-1.74276000E+02	-5.18511151E+01	-4.89191359E+01	-7.81731657E+01	-1.01784684E+02	-9.02862730E+01	-8.18915850E+01	
-1.74240000E+02	-5.18781762E+01	-4.89161393E+01	-7.81127088E+01	-1.01784133E+02	-9.02934231E+01	-8.18914431E+01	
-1.74204000E+02	-5.19053234E+01	-4.89131488E+01	-7.80526494E+01	-1.01783572E+02	-9.03005770E+01	-8.18913078E+01	
-1.74168000E+02	-5.19325515E+01	-4.89101605E+01	-7.79929514E+01	-1.01783000E+02	-9.03077306E+01	-8.18911739E+01	
-1.74132000E+02	-5.19598553E+01	-4.89071775E+01	-7.79336319E+01	-1.01782417E+02	-9.03148831E+01	-8.18910485E+01	
-1.74096000E+02	-5.19872360E+01	-4.89042032E+01	-7.78746631E+01	-1.01781825E+02	-9.03220357E+01	-8.18909249E+01	
-1.74060000E+02	-5.20146986E+01	-4.89012293E+01	-7.78160490E+01	-1.01781221E+02	-9.03291920E+01	-8.18908095E+01	
-1.74024000E+02	-5.20422380E+01	-4.88982623E+01	-7.77578064E+01	-1.01780607E+02	-9.03363468E+01	-8.18906954E+01	
-1.73988000E+02	-5.20698595E+01	-4.88952987E+01	-7.76999058E+01	-1.01779983E+02	-9.03435002E+01	-8.18905899E+01	
-1.73952000E+02	-5.20975492E+01	-4.88923415E+01	-7.76423333E+01	-1.01779348E+02	-9.03506590E+01	-8.18904876E+01	
-1.73916000E+02	-5.21253218E+01	-4.88893882E+01	-7.75851199E+01	-1.01778703E+02	-9.03578181E+01	-8.18903902E+01	
-1.73880000E+02	-5.21531797E+01	-4.88864403E+01	-7.75282277E+01	-1.01778048E+02	-9.03649767E+01	-8.18902986E+01	
-1.73844000E+02	-5.21811153E+01	-4.88834948E+01	-7.74716749E+01	-1.01777382E+02	-9.03721332E+01	-8.18902124E+01	
-1.73808000E+02	-5.22091349E+01	-4.88805536E+01	-7.74154602E+01	-1.01776706E+02	-9.03792930E+01	-8.18901330E+01	
-1.73772000E+02	-5.22372226E+01	-4.88776206E+01	-7.73595806E+01	-1.01776020E+02	-9.03864544E+01	-8.18900563E+01	
-1.73736000E+02	-5.22654089E+01	-4.88746873E+01	-7.73039825E+01	-1.01775323E+02	-9.03936150E+01	-8.18899854E+01	
-1.73700000E+02	-5.22936729E+01	-4.88717624E+01	-7.72487373E+01	-1.01774616E+02	-9.04007761E+01	-8.18899184E+01	
-1.73664000E+02	-5.23220174E+01	-4.88688417E+01	-7.71937716E+01	-1.01773898E+02	-9.04079366E+01	-8.18898569E+01	
-1.73628000E+02	-5.23504356E+01	-4.88659266E+01	-7.71391382E+01	-1.01773171E+02	-9.04150993E+01	-8.18898005E+01	
